date,price,action,reward,portfolio_value,cash,shares
2026-07-31,1319.0,0,0.0,168002.2624417258,168002.2624417258,0.0
2026-08-03,1290.9,0,0.0,168002.2624417258,168002.2624417258,0.0
2026-08-04,1280.0,0,0.0,168002.2624417258,168002.2624417258,0.0
2026-08-05,1325.0,1,0.03173310513872175,173453.67335442474,8240.510972766671,124.68917915596835
2026-08-06,1334.8,0,0.007020144364730846,174675.6273101532,8240.510972766671,124.68917915596835
2026-08-07,1327.3,0,-0.0053681280948813925,173740.45846648345,8240.510972766671,124.68917915596835
2026-08-10,1323.9,0,-0.0024430767977061418,173316.51525735317,8240.510972766671,124.68917915596835
2026-08-11,1329.0,0,0.003662380601809182,173952.4300710486,8240.510972766671,124.68917915596835
2026-08-12,1317.0,0,-0.008638812653767433,172456.159921177,8240.510972766671,124.68917915596835
2026-08-13,1310.0,0,-0.0050739879454595556,171583.3356670852,8240.510972766671,124.68917915596835
2026-08-14,1316.0,0,0.004350706867470133,172331.47074202102,8240.510972766671,124.68917915596835
2026-08-17,1322.0,0,0.0043318601840187055,173079.6058169568,8240.510972766671,124.68917915596835
2026-08-18,1311.0,0,-0.00795613347941887,171708.02484624117,8240.510972766671,124.68917915596835
2026-08-19,1313.2,0,0.0015962987597037796,171982.34104038432,8240.510972766671,124.68917915596835
2026-08-20,1316.0,0,0.002027974535696133,172331.47074202102,8240.510972766671,124.68917915596835
2026-08-21,1309.8,0,-0.004496056928046342,171558.397831254,8240.510972766671,124.68917915596835
2026-08-24,1317.0,0,0.005219338006035703,172456.159921177,8240.510972766671,124.68917915596835
2026-08-25,1298.0,0,-0.013832602739105831,170087.06551721357,8240.510972766671,124.68917915596835
2026-08-26,1282.2,0,-0.011650430330193754,168116.9764865493,8240.510972766671,124.68917915596835
2026-08-27,1287.0,0,0.0035537470943189436,168715.48454649793,8240.510972766671,124.68917915596835
